opis;klasa
"temat: wymiana kontenera
zarzadca: spoldzielnia mieszkaniowa wroclaw- poludnie osiedle iv gaj
opis miejsca: obok smietnika
opis: prosze o pilna wymiane zapelnionego  kontenera na pusty.";Strefa Zarzadcy
"temat: brak worka na odpady
odpady: papier i tektura
pojemniki: pojemnik 80l
opis: brak pozostawionych workow na wszystkie  odpady mieszane .
prosze o dostarczenie.";Pojemniki/worki na odpady
"temat: brak pojemnika na odpady
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 60l
opis: szanowni panstwo,
chcialabym poprosic o postawienie pojemnika przy ulicy/na chodniku na odpady zmieszane na ul. iwaszkiewicza,w niedalekim sasiedztwie ul. illakowiczowny. prosbe motywuje tym,ze niestety na calej ulicy brak jest koszow na smieci. przy ulicy iwaszkiewicza zostalo wybudowanych w ostatnim czasie sporo blokow wielorodzinnych, w ktorych i ja m.in. mieszkam. mysle,ze taki kosz ulatwilby funkcjonowanie mieszkancom,a takze zapobieglby porzucaniu smieci ma chodnikach i trawnikach.
z gory dziekuje za pozytywne rozpatrzenie mojej prosby.
z powazaniem,
magdalena szpiczakowska";Sprzatanie miasta
"temat: podstawienie kontenera
zarzadca: pumaz
opis miejsca: przy  oslonie smietnikowej
opis: prosze o podstawienie kontenera";Strefa Zarzadcy
"temat: podstawienie kontenera
zarzadca: k.o.o. sp. z o.o.
opis miejsca: prosze o podstawienie kontenera za ostatnim blokiem nr 34b za smietnikiem usytuowanym przy garazach. miejscem charakterystycznym jest stara, biala paka samochodu oraz stary,bialy samochod iveco bez naczepy. czy moge prosic o jak najszybsza realizacje zamowienia ? bede wdzieczna. 
dziekuje i pozdrawiam, 
czlonek zarzadu wspolnoty mieszkaniowej skalniak 
ewa mackow
opis: prosze o podstawienie kontenera za ostatnim blokiem nr 34b za smietnikiem usytuowanym przy garazach. miejscem charakterystycznym jest stara, biala paka samochodu oraz stary,bialy samochod iveco bez naczepy. czy moge prosic o jak najszybsza realizacje zamowienia ? bede wdzieczna. 
dziekuje i pozdrawiam, 
czlonek zarzadu wspolnoty mieszkaniowej skalniak 
ewa mackow";Strefa Zarzadcy
"temat: inne
opis miejsca: dzien dobry,
prosze o informacje zwrotna w jakim mozliwie najblizszym terminie mozecie panstwo podstawic kontener na odpady gabarytowe - miejsce teren parkingu przed budyniem wspolnoty mieszkaniowej pod debami ii przy ul. suwalskiej 25-31 we wroclawiu.
opis: dzien dobry,
prosze o informacje zwrotna w jakim mozliwie najblizszym terminie mozecie panstwo podstawic kontener na odpady gabarytowe - miejsce teren parkingu przed budyniem wspolnoty mieszkaniowej pod debami ii przy ul. suwalskiej 25-31 we wroclawiu.";Strefa Zarzadcy
"temat: mycie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 1100l
opis: dzien dobry,
 zwracam sie z prosba o umycie kontenerow na odpady (wszystkie rodzaje) na nieruchomosci klimasa 45 -49 we wroclawiu, na terenie osiedla znajduja sie dwie wiaty smietnikowe. kontenery w wiatach sa bardzo brudne.";Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: dolnoslaskie centrum zarzadzania nieruchomosciami dczn sp. z o.o.
opis miejsca: przy ogrodzeniu posesji budynku przy ul. parafialnej 63
opis: prosimy o podstawienie kontenera dla mieszkancow budynku przy ul. parafialnej 63.";Strefa Zarzadcy
mieszkanka ul al. kochanowskiego 74 i zwraca sie z goraca prosba aby po odbiorze pojemnik wstawiac na posesje. poniewaz pozostawiony pojemnik na chodniku utrudnia ruch pieszym, pani miala nieprzyjemna sytuacje z przechodniem, ktory zachowywal sie w bardzo chamski sposob. dlatego goraca prosba aby pracownicy pamietali o wstawieniu pojemnik na posesje. pani z bedzie bardzo wdzieczna. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: spoldzielnia mieszkaniowa polanka ul.zmigrodzka 58
opis miejsca: oczko przy ul. obornickiej 51 od strony podworka
opis: w dniu 27.08.2018r zostanie usunieta sucha topola - zgoda wydzialu ochrony srodowiska i rolnictwa we wroclawiu. drzewo siega 8 pietra, prosimy o bardzo duzy kontener.";Strefa Zarzadcy
prosi o wymycie pojemnikow na odpady zmieszane, plastikowe,szklo i papier  , twierdzi ze jeszcze ani razu nie byly myte ;Pojemniki/worki na odpady
"temat: podstawienie dodatkowego pojemnika na odpady
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: pojemnik 1100l
opis: wnioskujemy o podstawienie pojemnikow na tworzywa sztuczne po 3 szt. do czterech oslon smietnikowych (przy klatce 83w, 83k, 83h, 83g). na terenie osiedla jest ochrona - nr tel. 885-560-041.
prosimy o informacje, kiedy mozemy sie spodziewac podstawienia kontenerow.";Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: zzn sp. z o.o. oddz./w-w
opis miejsca: prosze o podstawienie pojemnika na odpady wielkogabarytowe przy wejsciu do klatek przy ul. zaporoskiej 30 - 32
opis: prosze o podstawienie pojemnika na odpady wielkogabarytowe przy wejsciu do klatek przy ul. zaporoskiej 30 - 32";Strefa Zarzadcy
"temat: mycie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 1100l
opis: mycie pojemnikow na odpady zmieszane na nieruchomosci przy ul. zaporoskiej 30-32";Pojemniki/worki na odpady
prosi o natychmiastowy odbior odpadow zmieszanych , brak odbioru zgodnie z harmonogramem;Wywoz odpadow
prosi o natychmiastowy odbior  odpadow papierowych od poprzedniego zgloszenie nie zostal odebrany , choc firma    chemeko  deklarowala odbior na dzien 16.08.2018 . mieszkanka jest wsciekla .;Wywoz odpadow
"temat: podstawienie kontenera
zarzadca: sm wroclaw - poludnie osiedle ii  dorota-barbaraâ€ť
opis miejsca: w poblizu pomieszczen zsypowych od strony aldika
opis: w poblizu pomieszczen zsypowych od strony aldika";Strefa Zarzadcy
prosi o natychmiastowy odbior odpadow zmieszanych z kiosku na rogu bezpiecznej i chorwackiej;Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki 60-1100 l
opis: dzien dobry, 
prosze o odbior w dniu dzisiejszym odpadow zmieszanych papier, tektura w nieruchomosci dmowskiego 19e,19f. w piatek 24-0-2018 nie bylo odbioru.";Wywoz odpadow
"temat: podstawienie kontenera
zarzadca: spoldzielnia mieszkaniowa wroclaw-poludnie
opis miejsca: witam, prosze o podstawienie kontenera z tylu budynku na terenie zielonym.
opis: witam, prosze o podstawienie kontenera z tylu budynku na terenie zielonym.";Strefa Zarzadcy
prosze o dostawienie pojemnika na papier i tekture o poj. 240 l na ul.oplotkowa 11. w miejscu odbioru odpadow znajduje sie juz jeden pojemnik na papier, ale nalezny on do innego wlasciciela. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: inne
opis miejsca: lokalizacja smietnikowa mzo na podworku przy ul. zgodnej 15.
opis: mieszkancy zglaszaja brak dezynfekcji kublow po wywiezieniu odpadow zmieszanych. przy obecnie panujacych wysokich temperaturach z kublow wydobywa sie nieprzyjemny zapach, prosba o wymycie lub dezynfekcje przy najblizszym oproznieniu pojemnikow.";Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: osiedle ii dorota barbara sm wroclaw poludnie
opis miejsca: na chodniku od strony ul. komandorskiej
opis: na chodniku od strony ul. komandorskiej ( bardzo szeroki chodnik ). odpady po przecince skupin krzewow oraz zywoplotow";Strefa Zarzadcy
brak odbioru odpadow z papieru i tektury zgodnie z harmonogramem na ul polanowickiej 8e. do odbioru sa dwa worki, prawdopodobnie w miesiacu sierpniu w ogole odbioru nie bylo  nastepny jest dopiero 12.09. prosze o odbior odpadow  w dniu dzisiejszym.;Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki 60-1100 l
opis: dzien dobry
nie zostaly odebrane smieci w tym miesiacu
dotyczy to rowniez sasiadow z numerow 26a-26d oraz 28a-28e
pozdrawiam";Wywoz odpadow
brak odbioru odpadow opakowaniowych ze szkla zgodnie z harmonogramem, ktory mial odbyc sie dnia 24.08 ul.krotoszynska 9 zgloszenie dotyczy calej ulicy, pojemniki sa przepelnione. prosze o odbior odpadow w dniu dzisiejszym.;Wywoz odpadow
"temat: podstawienie kontenera
zarzadca: zarzadca sp. z o.o.
opis miejsca: prosze o podstawienie kontenera na gabaryty obok oslony smietnikowej w podworku
opis: prosze o podstawienie kontenera na gabaryty obok oslony smietnikowej w podworku kosciuszki 156, dodatkowo zdjecie oslony - nadal kubly nie sa odstawiane po oproznieniu na miejsce, zdjecia z 27.08.2018, prosze o kolejna interwencje";Strefa Zarzadcy
"temat: inne
opis miejsca: bardzo prosze o umycie kontenerow znajdujacych sie w wiacie smietnikowej w budynku ul.zaporoska 25-31a, (kontenery bardzo smierdza).
opis: bardzo prosze o umycie kontenerow znajdujacych sie w wiacie smietnikowej w budynku ul.zaporoska 25-31a, (kontenery bardzo smierdza).
prosze rowniez zwrocic uwage pracownikom wywozacym smieci aby zamykali kontenery po kazdym ich oproznieniu.nie ma mozliwosci zamkniecia klapy, gdy kontenery stoja w wiacie.";Pojemniki/worki na odpady
mieszkaniec ul. kwiskiej 126 zglasza brak odbioru odpadow zielony a w zasadzie dwoch korzeni z drzew, ktore znajduja sie z tylu domu na przeciwko posesji ul kwiskiej 146. mieszkaniec zostal poinformowany o mozliwosci przywiezienia korzeni do pszoku ale nie skorzysta. firma chemeko z tym problemem odstala pana do ekosystemu. prosze o interwencje  realizacje zgloszenia i przekazanie informacji pod nr  tel 605658105;Wywoz odpadow
"zgloszenie crm wymaga odpowiedzi z-6463636-c8n0b9 na maila 
tresc przepelnione kosze";Sprzatanie miasta
"temat: uszkodzenie pojemnika - koniecznosc wymiany
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 1100l
opis: prosze o wymiane pojemnikow na zmieszane odpady komunalne na bezodplywowe. w budynku pod adresem slezna 116 b-f wroclaw znajduja sie dwie komory na pojemniki. sa one zamykane i zadaszone. w zwiazku z tym nie sa narazone na zbieranie sie w nich wody deszczowej i moga byc bezodplywowe. w tej chwili maja otwarte odplywy co powoduje wyciekanie nieczystosci plynnych na podloge tych pomieszczen.";Pojemniki/worki na odpady
prosze o o wymiane pojemnika  na odpady opakowaniowe ze szkla z poj 120l(pojemnik przepelniony z powodu braku odbioru zgodnie z harmonogramem) na 240l ul. zakrzowska 21 firma mp kolor sp z.o.o;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: kompleksowa obsluga osiedla sp. z o. o.
opis miejsca: przy oslonie smietnikowej przy ul. golezyckiej 29
opis: dzialajac na zgloszenie wlascicieli, koo sp z o.o. dzialajac jako zarzadca, zwraca sie do panstwa z prosba o podstawienie kontenera na gabaryty przy oslonie smietnikowej przy ul. golezyckiej 29. prosimy o mozliwy najwczesniejszy termin podstawienia kontenera na przedmiotowej wspolnocie z uwagi duza liczbe gabarytow.";Strefa Zarzadcy
prosze o zamiane workow na pojemnik, poniewaz nie mieszcze sie z odpadami w workach.;Pojemniki/worki na odpady
brak odbioru wszystkich frakcji odpadow zgodnie z harmonogramem na ul kleczkowskiej 43 wnw nieruchomosci i.m wojtus sp.jprosze o realizacje zgloszenia.;Wywoz odpadow
"temat: inne
opis miejsca: mieszkania 1
opis: rejestracja nowych mieszkancow";Inne
brak odbioru odpadow od dwoch tygodni. mieszkanka zglasza, ze jej nieruchomosc zostala pominieta podczas wywozu zmieszanych odpadow komunalnych zarowno w dniu 22.08.2018 r. jak i 29.08.2018 r. ;Wywoz odpadow
brak odbioru  odpadow zielonych prawdopodobnie ostatni odbior byl pod koniec miesiaca czerwca ul. skladowej 5  lo nr 3. do odbioru jest okolo 20 workow z odpadami, szkola otwarta w godzinach 6-19. prosze o odbior odpadow w dniu dzisiejszym i dostarczenie 100 sztuk workow. prosze o realizacje zgloszenia.;Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki 60-1100 l
opis: witam. dnia 27.08.2018 oraz tydzien wczesniej 20.08.2018 pojemnik z papierem nie zostal oprozniony.
zglaszalam problem telefonicznie  28.08, jednak do dzisiaj sprawa nie zostala zalatwiona.
prosze o interwencje oraz terminowe oproznianie pojemnika.";Wywoz odpadow
prosze o mycie i dezynfekcje pojemnika na odpady zmieszane na ul. spolecznej 3. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: przepelnienie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: dzien dobry 
potrzebujemy zmiane pojemnika na odpady komunalne z 240 l na 500 l";Pojemniki/worki na odpady
"temat: dzikie wysypiska
dzielnica: srodmiescie
opis miejsca: dzikie wysypiska odpadow zielonych pomiedzy spoldzielcza 12 a 14, spoldzielcza 29 a 31 oraz spoldzielcza 30 a 32.prosze o zajecie sie sprawa.
opis: dzikie wysypiska odpadow zielonych pomiedzy spoldzielcza 12 a 14, spoldzielcza 29 a 31 oraz spoldzielcza 30 a 32.prosze o zajecie sie sprawa.";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: odpady ze szkla
pojemniki: pojemniki 60-1100 l
opis: w zgloszeniu id: 36564
zglosilem brak odbioru odpadow szklanych w zgodzie z harmonogramem.
mial nastapic odbior interwencyjny w dniu 31.09.2018.
odbior ponownie nie mial miejsca.
z powazaniem,
przemyslaw adamowicz";Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: odpady zielone
pojemniki: pojemniki 60-1100 l
opis: zarzad rod ,,fantazja we wroclawiu zwraca sie z prosba  o podstawienie  kontenera  7 m na  galezie , poniewaz kubel 1100lsa  za male. termin podstawienia  13 wrzesien 2018 r
jednoczesnie informuje, ze ogrod jest  usytuowany przy  kapielisku glinianki przystanek nowe zerniki 
prezes zarzadu jan  piorkowski";Strefa Zarzadcy
"temat: podstawienie kontenera
zarzadca: egendom sp. z o. o.
opis miejsca: -nieruchomosc przy ul. rodziewiczowny 8-12
opis: dotyczy sprawy #36789 
prosze, aby podstawiony kontener nie utrudnial przejazdu i nie przyslanial wyjazdu z garazy. moze byc postawiony na terenach zielonych. 
dziekuje,";Strefa Zarzadcy
zgloszenie dotyczy brudnego i smierdzacego pojemnika jaki zostal podstawiony na ul wietrzna 15. pani jest zbulwersowana, ze otrzymala tak strasznie brudny pojemnik na odpady opakowanie ze szkla. prosze o wymiane pojemnika badz dokladne jego umycie. prosze o realizacje zgloszenia w dniu dzisiejszym.;Pojemniki/worki na odpady
brak odbioru odpadow zielonych zgodnie z harmonogramem, ktory mial odbyc sie dnia 31.08 na ul bl. wincentego kadlubka 4. worki znajduja sie od ul sobotki. wlasciciel ww nieruchomosci twierdzi, ze ekipa przejezdzala samochodem ale odpadow nie zabrala, sytuacja z brakiem odbioru powtarza sie notorycznie. prosze o odbior odpadow w dniu dzisiejszym.;Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: pojemniki 60-1100 l
opis: w dniu 3.09.2018 ponownie nie zabrano odpadow plastikowych.
problem powtarza sie kilkukrotnie.
pozostale odpady sa regularnie zabierane.
odpady znajduja sie w boksie przy furtce.
prosimy o wyjasnienie dlaczego te odpady nie sa odbierane zgodnie z harmonogramem ?
antoni i jozefa koziol";Wywoz odpadow
mieszkancy z  vivaldiego 2 do 20 prosza o natychmiastowy odbior odpadow komunalnych od 2 tygodni nie odbieranie. mieszkancy sa zbulwersowani i oburzeni ;Wywoz odpadow
prosze o dostarczenie workow na odpady zielone sztuk 30 i  10 sztuk workow na tworzywa sztuczne ul. czolgistow 28. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: uszkodzenie pojemnika - koniecznosc wymiany
odpady: zmieszane odpady komunalne
pojemniki: pojemnik120l
opis: witam,
podczas wywozu odpadow zmieszanych z ulicy wykladowej zostal podmieniony pojemnik na odpady zmieszane. pojemnik czarny szanowany i w dobrym stanie zamieniono na niebieski uszkodzony i smierdzacy. 
niestety zaden z sasiadow nie zareagowal, a ja nie zamierzam prowadzic dochodzenia kto ma moj pojemnik.
prosze o zabranie ww. pojemnika i podstawienie nowego zgodnego warunkami umowy.
pozdrawiam,
magdalena mazurek";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki 60-1100 l
opis: dzis wedlug harmonogramu mialy zostac wywiezione odpady, po raz kolejny nie bylo odbioru. na zgloszenie wyslane tydzien temu nie otrzymalem zadnej odpowiedzi. 
w zwiazku z powyzszym prosze o zwrot 50% wplaconych kwot za wywoz odpadow. numer konta podam we wiadomosci e-mail jak w koncu otrzymam od panstwa odpowiedz.";Wywoz odpadow
"temat: brak podstawienia kontenera
zarzadca: jakub szpiegowski. licencjonowany zarzadca nieruchomosci
opis miejsca: wspolnota mieszkaniowa ul. lomnicka 18-22, kolo oslony smietnikowej
opis: brak podstawienia kontenera w dn. 31.08.2018 r.; prosze o weryfikacje o wykonawcy i wskazanie dodatkowego terminu dla mieszkancow w zwiazku z brakiem realizacji podstawienia w terminie z harmonogramu; wokol oslony smietnikowej bylo wolne miejsce, wiec od razu uprzedzam standardowa odpowiedz";Strefa Zarzadcy
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki/dzwony do zbiorki selektywnej
opis: dzien dobry, 
pisze z zapytaniem o wywoz odpadow w podworku daszynskiego/jednosci narodowej. wydaje sie, ze smieci nie byly wybierane kilka dni, czarne pojemniki sa juz przepelnione, wszystko sie wysypuje. pisze z informacja i pytaniem kiedy pojemniki beda oproznione?
pozdrawiam
agnieszka wojsznis";Wywoz odpadow
prosi o natychmiastowy odbior odpadow plastikowych z traktatowej 2 oraz 4  zostali pominieci w dniu wczorajszym ;Wywoz odpadow
"temat: zmiana wielkosci pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 1100l
opis: mieszkancy zolnierskiej 15/17 zglaszaja przepelnianie sie pojemnikow i prosza o zamiane istniejacych pojemnikow na odpady zmieszane na 1 pojemnik o pojemnosci 1100 l.";Pojemniki/worki na odpady
zgloszenie od mieszkanca sasiada. warsztat samochodowy auto-serwis-wiater regularnie pozbywa sie opakowan po olejach oraz filtrow  samochodowych do odpadow zmieszanych. prosba o interwencje i zajecie sie sprawa. pojemnik jest pekniety dlatego olej czesto wylewa sie tworzac plamy.;Inne
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: od 31.09.2019r nie byly odbierane odpady komunalne mieszane na osiedlu mala toskania panuje armagedon smieciowy prosze o zabranie smieci z buforowej 14 16, konduktorskiej 2, konduktorskiej 6,konduktorskiej 2a. sprawa pilna!!!!";Wywoz odpadow
"temat: podstawienie kontenera
zarzadca: atena&hjw
opis miejsca: prosze o podstawienie kontenera na odpady wielkogabarytowe na gajowicka 72, w jak najblizszym, mozliwym terminie. prosze o szybka informacje zwrotna.
atena&hjw
opis: prosze o podstawienie kontenera na odpady wielkogabarytowe na gajowicka 72, w jak najblizszym, mozliwym terminie. prosze o szybka informacje zwrotna.
atena&hjw";Strefa Zarzadcy
prosze o dostarczenie 10 sztuk workow na tworzywa sztuczne i 10 workow na papier ul. siemiradzkiego 16. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: inne
opis miejsca: wiaty smietnikowe
opis: dezynfekcja pojemnikow na smieci";Pojemniki/worki na odpady
"zgloszenie crm   z-6467226-p1g7h4  wymaga odpowiedzi na email malgorzata.lewandowska@ekosystem.wroc.pl
o tresci pas zieleni pomiedzy chodnikiem a tramwajem";Sprzatanie miasta
"zgloszenie crm    z-6467988-x2l8x7  wymaga odpowiedzi na e-mail malgorzata.lewandowska@ekosystem.wroc.pl
tresc: teren zielony na koncu arbuzowej. pijacy tutaj zostawiaja mnostwo szklanych butelek po alkoholu brak foto";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: pojemniki 60-1100 l
opis: brak odbioru smieci zgodnie z harmonogramem.";Wywoz odpadow
"temat: podstawienie kontenera
zarzadca: rada osiedla polanowice-poswietne-ligota
opis miejsca: na rogu poswieckiej i krzyzanowickiej  - vis a vis numeru 19
opis: kontener";Strefa Zarzadcy
prosi o natychmiastowy odbior odpadow zielonych z calej ulicy tybetanskiej , unosi sie fetor i wycieka z workow . prosze o realizacje zgloszenia .;Wywoz odpadow
prosi o podstawienie pojemnika na zmieszane 120 l ;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: fontis
opis miejsca: przed brama glowna budynku spoldzielcza 36. jesli to mozliwe prosze o podstawienie w dniu 11-09-2018
opis: kontener prosze podstawic przed brama glowna budynku spoldzielcza 36. jesli to mozliwe prosze o podstawienie w dniu 11-09-2018";Strefa Zarzadcy
"temat: podstawienie kontenera
zarzadca: sm metalowiec aii
opis miejsca: w miejscu podstawienia kontenera na gabaryty
opis: kontener na zielone ul lubuska 70";Strefa Zarzadcy
brak odbioru odpadow zmieszanych kontener 16m3 ktory znajduje sie na przeciwko okien ul  3 maja 13 na parkingu, pojemnik jest przepelniony. sprawa jest bardzo pilna prosze o odbior odpadow w dniu dzisiejszym. ;Wywoz odpadow
"temat: pas drogowy - jezdnia
dzielnica: krzyki
opis miejsca: stajenna przy oltaszynskiej
opis: prosze o niezwloczny odbior przepelnionego kontenera na odpady wielkogabarytowe i nie podstawianie kolejnego !!! w toku jest zmiana miejsca podstawiania i kontener zgodnie z waszym harmonogramem w ogole nie mial byc teraz podstawiony na ul. stajennej !!! sprawa zostala skierowana do strazy miejskiej.";Strefa Zarzadcy
"temat: brak worka na odpady
odpady: odpady zielone
pojemniki: worek 120l
opis: witam
poprosze o pozostawienie 3-4 workow na odpady zielone";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki 60-1100 l
opis: dzien dobry,
poraz kolejny zglaszam nie odebranie odpadow zgodnie z harmonogramem. papier - klimasa 37-37f - dzisiaj mija tydzien, a w tym czasie powinien byc juz zabrany 3 razy! pozostale frakcje takze czekaja na odbior. dzisiaj takze zgodnie z harmonogramem powinny byc odebrane odpady zielone, zmieszane oraz tworzywa sztuczne. prosze o interwencje.
pozdrawiam,
katarzyna dyczko-kaszycka 
czlonkini zarzadu wm ul.klimasa 37-43e
50-515 wroclaw";Wywoz odpadow
prosi o odbior odpadow zmieszanych , w dniu dzisiejszym firma chemeko nie zabrala workow z zmieszanymi lezacych kolo pojemnika.  ;Wywoz odpadow
prosze o dostarczenie 30 sztuk workow na odpady zielone na ul. ulanska 20. prosze o realizacje zgloszenia w dniu dzisiejszym.;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: spoldzielnia mieszkaniowa wroclaw-poludnie
opis miejsca: witam, 
pierwszy komplet(sugerowana data- najlepiej jak najszybciej)
1. ul. swieradowska 65/67 przy drodze naprzeciw podcienia
2. ul. dzialkowa 20-22 parking duzy
3. radkowska 18, koniecznie w srodku nieruchomosci, przy oslonie smietnikowej
4. nyska 38 - na trawniku naprzeciwko oslony smietnikowej
prosze o potwierdzenie wraz z datami i adresami, pozdrawiam.
opis: witam,
pierwszy komplet(sugerowana data- najlepiej jak najszybciej)
1. ul. swieradowska 65/67 przy drodze naprzeciw podcienia
2. ul. dzialkowa 20-22 parking duzy
3. radkowska 18, koniecznie w srodku nieruchomosci, przy oslonie smietnikowej
4. nyska 38 - na trawniku naprzeciwko oslony smietnikowej";Strefa Zarzadcy
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: pojemniki 60-1100 l
opis: witam , 
prosze dopilnowanie odbioru odpadkow od tygodnia odpady nie sa odbierane i w dniu dzisiejszym pojemniki sa juz przepelnione a odpady plastikowe pozostawiane sa przez mieszkancow poza pojemnikami";Wywoz odpadow
"temat: tereny zewnetrzne - wnetrza podworzowe
dzielnica: krzyki
opis miejsca: wnetrze podworzowe przy oslonie smietnikowej
opis: dzien dobry
otrzymalem zgloszenie od zarzadcy nieruchomosci, ze przy adresie ul. nyska 70-86 przy oslonie smietnikowej zalegaja luzy smieciowe i gabaryty. prosba o zlecenie sprzatania.";Sprzatanie miasta
brak odbioru kontenerow z odpadami zielonymi z rod tarnogaj, 2 tereny od strony ulicy gazowej.;Strefa Zarzadcy
"temat: inne
opis: witam
wedlug mnie wlasciciele adresu ul.adm.j.unruga 19/2 nie placa za smieci od czasu wejscia w zycie ustawy o obowiazku zaplaty za odpady. prosze sprawdzic w swoim systemie.
swoje podejrzenia wyciagnalem gdyz ogladalem ta nieruchomosc wystawiona na sprzedaz, a potem sprawdzajac harmonogram wywozu odpadow zauwazylem, ze jest dla 17/1, 17/2 i 19/1, a dla 19/2 nie ma, a to jeden blizniaczy budynek. poza tym 19/2 ma spory ogord wiec trawa z koszenia jest wywozona.
michal muzyk";Inne
prosze o dostarczenie 10 sztuk workow na tworzywa i 10 sztuk na odpady zielone na ul. koreanskiej 55a. prosze o zrealizowanie zgloszenia.;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: zespol szkol nr 21
opis miejsca: plac przy budynku szkoly (wjazd boczna brama, od strony przedszkola nr 150), w okolicy smietnika na odpady zmieszane.
opis: prosze o podstawienie kontenera na odpady wielkogabarytowe, o pojemnosci 16m3.";Strefa Zarzadcy
"temat: inne
opis miejsca: miejsce zbiorki odpadow komunalnych przy budynku e. orzeszkowej 39 we wroclawiu
opis: pzm sp. z o.o. prosi o wyegzekwowanie od firmy wpo alba s.a., aby w chwili podstawiania pustych kontenerow na miejsce zbiorki odpadow zamykali klapy pojemnikow.otwarte klapy kontenerow zwlaszcza na odpady zmieszane powoduja utrudnienie w utrzymaniu miejsca zbiorki odpadow w nalezytym stanie higieniczno-sanitarnym. wnosimy rowniez o systematyczna dezynfekcje pojemnikow na odpady komunalne.";Pojemniki/worki na odpady
brak odbioru wszystkich frakcji odpadow zgodnie z harmonogramem na ul. opolskiej 111-113. sprawa jest bardzo pilna, prosze o odbior odpadow w dniu dzisiejszym.;Wywoz odpadow
zgloszenie dotyczy goracej prosby o dodatkowy odbior odpadow z papieru, ktore sa przygotowane do odbioru w workach innego koloru ale prawidlowo oznakowane ul. pola 49. pani bardzo prosi o pomoc poniewaz sama nie potrafi sobie z tym poradzic ma 90 lat. prosze o odbior odpadow w dniu dzisiejszym.;Wywoz odpadow
"temat: mycie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik120l
opis: zglaszam koniecznosc mycia pojemnikow na odpady przy ul. migdalowej 1-15. mieszkancy skarza sie na  nieprzyjemny fetor";Pojemniki/worki na odpady
brak odbioru odpadow z papieru zgodnie z harmonogramem na ul. rybnickiej 12-12h. sprawa jest bardzo pilna, prosze o odbior odpadow w dniu dzisiejszym.;Wywoz odpadow
prosze o zamiane wielkosci pojemnika na tworzywa sztuczne z poj. 120l na poj 240l. i zamiane pojemnika na szklo z poj.240l na poj.120l. ul. sygnalowa 106d. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: inne
opis miejsca: magazyny przy ulicy wyscigowej.
opis: dzien dobry,
chcielibysmy podpisac z panstwem umowe o odbior odpadow. czy moge otrzymac ja na maila?
pozdrawiam";Inne
